trainable params: 10,092,544 || all params: 606,142,464 || trainable%: 1.6650
{'loss': '-0.02991', 'grad_norm': '0', 'learning_rate': '4.992e-06', 'num_tokens': '2.707e+04', 'completions/mean_length': '11.32', 'completions/min_length': '10.3', 'completions/max_length': '12', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '11.32', 'completions/min_terminated_length': '10.3', 'completions/max_terminated_length': '12', 'rewards/_reward/mean': '-0.3396', 'rewards/_reward/std': '0.04348', 'reward': '-0.3396', 'reward_std': '0.04348', 'frac_reward_zero_std': '0.55', 'entropy': '0.0648', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '8.124', 'epoch': '0.05'}
{'loss': '0', 'grad_norm': '0', 'learning_rate': '4.928e-06', 'num_tokens': '5.437e+04', 'completions/mean_length': '11.93', 'completions/min_length': '11.8', 'completions/max_length': '12', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '11.93', 'completions/min_terminated_length': '11.8', 'completions/max_terminated_length': '12', 'rewards/_reward/mean': '-0.3345', 'rewards/_reward/std': '0.03688', 'reward': '-0.3345', 'reward_std': '0.03688', 'frac_reward_zero_std': '1', 'entropy': '0.009955', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '3.012', 'epoch': '0.1'}
{'loss': '0', 'grad_norm': '0', 'learning_rate': '4.802e-06', 'num_tokens': '8.17e+04', 'completions/mean_length': '11.96', 'completions/min_length': '11.9', 'completions/max_length': '12', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '11.96', 'completions/min_terminated_length': '11.9', 'completions/max_terminated_length': '12', 'rewards/_reward/mean': '-0.3225', 'rewards/_reward/std': '0.02405', 'reward': '-0.3225', 'reward_std': '0.02405', 'frac_reward_zero_std': '1', 'entropy': '0.005253', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '3.058', 'epoch': '0.15'}
{'loss': '0', 'grad_norm': '0', 'learning_rate': '4.617e-06', 'num_tokens': '1.088e+05', 'completions/mean_length': '11.96', 'completions/min_length': '11.8', 'completions/max_length': '12', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '11.96', 'completions/min_terminated_length': '11.8', 'completions/max_terminated_length': '12', 'rewards/_reward/mean': '-0.285', 'rewards/_reward/std': '0.04811', 'reward': '-0.285', 'reward_std': '0.04811', 'frac_reward_zero_std': '1', 'entropy': '0.004404', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '3.041', 'epoch': '0.2'}
{'loss': '0', 'grad_norm': '0', 'learning_rate': '4.377e-06', 'num_tokens': '1.36e+05', 'completions/mean_length': '11.96', 'completions/min_length': '11.9', 'completions/max_length': '12', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '11.96', 'completions/min_terminated_length': '11.9', 'completions/max_terminated_length': '12', 'rewards/_reward/mean': '-0.3067', 'rewards/_reward/std': '0.05532', 'reward': '-0.3067', 'reward_std': '0.05532', 'frac_reward_zero_std': '1', 'entropy': '0.0024', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '2.99', 'epoch': '0.25'}
{'loss': '0', 'grad_norm': '0', 'learning_rate': '4.09e-06', 'num_tokens': '1.633e+05', 'completions/mean_length': '11.89', 'completions/min_length': '11.7', 'completions/max_length': '12', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '11.89', 'completions/min_terminated_length': '11.7', 'completions/max_terminated_length': '12', 'rewards/_reward/mean': '-0.3472', 'rewards/_reward/std': '0.01844', 'reward': '-0.3472', 'reward_std': '0.01844', 'frac_reward_zero_std': '1', 'entropy': '0.007761', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '3.005', 'epoch': '0.3'}
{'loss': '0', 'grad_norm': '0', 'learning_rate': '3.762e-06', 'num_tokens': '1.905e+05', 'completions/mean_length': '11.91', 'completions/min_length': '11.7', 'completions/max_length': '12', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '11.91', 'completions/min_terminated_length': '11.7', 'completions/max_terminated_length': '12', 'rewards/_reward/mean': '-0.3225', 'rewards/_reward/std': '0.02405', 'reward': '-0.3225', 'reward_std': '0.02405', 'frac_reward_zero_std': '1', 'entropy': '0.008773', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '3.03', 'epoch': '0.35'}
{'loss': '0', 'grad_norm': '0', 'learning_rate': '3.401e-06', 'num_tokens': '2.178e+05', 'completions/mean_length': '11.97', 'completions/min_length': '11.9', 'completions/max_length': '12', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '11.97', 'completions/min_terminated_length': '11.9', 'completions/max_terminated_length': '12', 'rewards/_reward/mean': '-0.3218', 'rewards/_reward/std': '0.06655', 'reward': '-0.3218', 'reward_std': '0.06655', 'frac_reward_zero_std': '1', 'entropy': '0.00281', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '3.02', 'epoch': '0.4'}
{'loss': '0', 'grad_norm': '0', 'learning_rate': '3.017e-06', 'num_tokens': '2.451e+05', 'completions/mean_length': '11.94', 'completions/min_length': '11.8', 'completions/max_length': '12', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '11.94', 'completions/min_terminated_length': '11.8', 'completions/max_terminated_length': '12', 'rewards/_reward/mean': '-0.3465', 'rewards/_reward/std': '0.03367', 'reward': '-0.3465', 'reward_std': '0.03367', 'frac_reward_zero_std': '1', 'entropy': '0.005517', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '3.007', 'epoch': '0.45'}
{'loss': '0', 'grad_norm': '0', 'learning_rate': '2.62e-06', 'num_tokens': '2.724e+05', 'completions/mean_length': '11.97', 'completions/min_length': '11.8', 'completions/max_length': '12', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '11.97', 'completions/min_terminated_length': '11.8', 'completions/max_terminated_length': '12', 'rewards/_reward/mean': '-0.3248', 'rewards/_reward/std': '0.04249', 'reward': '-0.3248', 'reward_std': '0.04249', 'frac_reward_zero_std': '1', 'entropy': '0.004703', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '3.036', 'epoch': '0.5'}
{'loss': '0', 'grad_norm': '0', 'learning_rate': '2.22e-06', 'num_tokens': '2.996e+05', 'completions/mean_length': '12', 'completions/min_length': '12', 'completions/max_length': '12', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '12', 'completions/min_terminated_length': '12', 'completions/max_terminated_length': '12', 'rewards/_reward/mean': '-0.2948', 'rewards/_reward/std': '0.05853', 'reward': '-0.2948', 'reward_std': '0.05853', 'frac_reward_zero_std': '1', 'entropy': '0.0001274', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '3.024', 'epoch': '0.55'}
